27/09/2022	00781	
111323273743 |34
24/09/2022	00780	
010405174247 |09
22/09/2022	00779	
121419294447 |26
20/09/2022	00778	
082732435354 |45
17/09/2022	00777	
050819344049 |39
15/09/2022	00776	
030819304152 |09
13/09/2022	00775	
091021404148 |54
10/09/2022	00774	
020815193538 |14
08/09/2022	00773	
091323323652 |43
06/09/2022	00772	
010527435254 |15
03/09/2022	00771	
112231334046 |41
01/09/2022	00770	
041418395053 |31
30/08/2022	00769	
021319293032 |16
27/08/2022	00768	
010507102548 |36
25/08/2022	00767	
193035404953 |42
23/08/2022	00766	
132131414445 |27
20/08/2022	00765	
061629324251 |43
18/08/2022	00764	
232731373842 |26
16/08/2022	00763	
171828475053 |11
13/08/2022	00762	
192829303336 |14
11/08/2022	00761	
011221344855 |50
09/08/2022	00760	
091036415155 |52
06/08/2022	00759	
062127415153 |43
04/08/2022	00758	
080920414854 |02
02/08/2022	00757	
020528404748 |31
30/07/2022	00756	
010424354447 |17
28/07/2022	00755	
050617282939 |34
26/07/2022	00754	
050809131447 |53
23/07/2022	00753	
272829394054 |13
21/07/2022	00752	
022033455155 |01
19/07/2022	00751	
080933343552 |36
16/07/2022	00750	
061318273446 |33
14/07/2022	00749	
112529373952 |45
12/07/2022	00748	
121324253941 |09
09/07/2022	00747	
052124475255 |20
07/07/2022	00746	
182432434855 |15
05/07/2022	00745	
050712262944 |38
02/07/2022	00744	
062639404647 |02
30/06/2022	00743	
051115192931 |35
28/06/2022	00742	
052230323855 |33
25/06/2022	00741	
141731353740 |28
23/06/2022	00740	
102223344654 |27
21/06/2022	00739	
091319213451 |35
18/06/2022	00738	
062743444547 |33
16/06/2022	00737	
091321405154 |04
14/06/2022	00736	
021526323536 |16
11/06/2022	00735	
101823254547 |38
09/06/2022	00734	
303135434850 |22
07/06/2022	00733	
161721283950 |19
04/06/2022	00732	
031727303449 |25
02/06/2022	00731	
071128303350 |49
31/05/2022	00730	
041015164751 |23
28/05/2022	00729	
333638424346 |03
26/05/2022	00728	
043032394153 |42
24/05/2022	00727	
183132465052 |28
21/05/2022	00726	
193238404548 |02
19/05/2022	00725	
030631404754 |08
17/05/2022	00724	
111725294548 |53
14/05/2022	00723	
022830434455 |22
12/05/2022	00722	
091824434450 |15
10/05/2022	00721	
121841434751 |10
07/05/2022	00720	
153233364346 |31
05/05/2022	00719	
272933394753 |55
03/05/2022	00718	
012238484953 |42
30/04/2022	00717	
112351525354 |27
28/04/2022	00716	
082425323744 |03
26/04/2022	00715	
142224254349 |17
23/04/2022	00714	
032736414955 |18
21/04/2022	00713	
212427343842 |46
19/04/2022	00712	
020713282934 |39
16/04/2022	00711	
040839415355 |52
14/04/2022	00710	
010509343745 |52
12/04/2022	00709	
111820222540 |05
09/04/2022	00708	
020319284245 |12
07/04/2022	00707	
061415252932 |41
05/04/2022	00706	
051826364344 |45
02/04/2022	00705	
323842444755 |46
31/03/2022	00704	
052434394249 |16
29/03/2022	00703	
051132354052 |31
26/03/2022	00702	
010616303455 |29
24/03/2022	00701	
050916354546 |44
22/03/2022	00700	
011418284749 |22
19/03/2022	00699	
082024375155 |27
17/03/2022	00698	
010612213749 |53
15/03/2022	00697	
061424283352 |50
12/03/2022	00696	
121618263045 |36
10/03/2022	00695	
010308161936 |41
08/03/2022	00694	
032325394748 |55
05/03/2022	00693	
051215254348 |01
03/03/2022	00692	
041016252643 |52
01/03/2022	00691	
151925425153 |02
26/02/2022	00690	
050830364951 |18
24/02/2022	00689	
021525303132 |13
22/02/2022	00688	
091619232539 |04
19/02/2022	00687	
011114334648 |40
17/02/2022	00686	
052440424654 |03
15/02/2022	00685	
050714242936 |46
12/02/2022	00684	
040812424451 |41
10/02/2022	00683	
031526354352 |07
08/02/2022	00682	
121521283240 |43
05/02/2022	00681	
011723294445 |37
03/02/2022	00680	
131822354243 |03
29/01/2022	00679	
061017232538 |21
27/01/2022	00678	
012631364046 |28
25/01/2022	00677	
021617203151 |50
22/01/2022	00676	
020616293742 |22
20/01/2022	00675	
082132344146 |48
18/01/2022	00674	
061516334143 |51
15/01/2022	00673	
202641464748 |18
13/01/2022	00672	
071217263746 |28
11/01/2022	00671	
122526283346 |22
08/01/2022	00670	
061737414850 |13
06/01/2022	00669	
040814213049 |38
04/01/2022	00668	
111722283949 |43
01/01/2022	00667	
042528323355 |03
30/12/2021	00666	
092527323746 |23
28/12/2021	00665	
030809404448 |02
25/12/2021	00664	
060823253335 |27
23/12/2021	00663	
082229434554 |23
21/12/2021	00662	
232528495254 |44
18/12/2021	00661	
040619263841 |16
16/12/2021	00660	
192430414349 |55
14/12/2021	00659	
101619243950 |29
11/12/2021	00658	
081317224251 |45
09/12/2021	00657	
031433404150 |17
07/12/2021	00656	
040622323453 |41
04/12/2021	00655	
070931323649 |37
02/12/2021	00654	
062328314448 |14
30/11/2021	00653	
122123283346 |38
27/11/2021	00652	
020507213137 |44
25/11/2021	00651	
161824293341 |43
23/11/2021	00650	
050709283855 |50
20/11/2021	00649	
061029303151 |35
18/11/2021	00648	
183032373940 |10
16/11/2021	00647	
081927344651 |02
13/11/2021	00646	
182229334648 |37
11/11/2021	00645	
033537414549 |31
09/11/2021	00644	
122526475153 |16
06/11/2021	00643	
233141484951 |03
04/11/2021	00642	
051015313250 |28
02/11/2021	00641	
373842464755 |23
30/10/2021	00640	
313640445053 |11
28/10/2021	00639	
020406133135 |16
26/10/2021	00638	
212429343953 |20
23/10/2021	00637	
051119262833 |09
21/10/2021	00636	
031932364151 |35
19/10/2021	00635	
030925294650 |18
16/10/2021	00634	
091722285055 |07
14/10/2021	00633	
092124304144 |40
12/10/2021	00632	
141731334250 |40
09/10/2021	00631	
012225383954 |19
07/10/2021	00630	
061521244555 |46
05/10/2021	00629	
111617193843 |24
02/10/2021	00628	
050622264951 |32
30/09/2021	00627	
182326324649 |54
28/09/2021	00626	
072225404950 |37
25/09/2021	00625	
072027434851 |37
23/09/2021	00624	
060721252749 |26
21/09/2021	00623	
152425404250 |49
18/09/2021	00622	
031415214752 |54
16/09/2021	00621	
101640434546 |22
14/09/2021	00620	
172230404344 |41
11/09/2021	00619	
081720363944 |30
09/09/2021	00618	
060810233944 |43
07/09/2021	00617	
193035434755 |12
04/09/2021	00616	
111232424351 |31
02/09/2021	00615	
010812262845 |43
31/08/2021	00614	
072037475153 |05
28/08/2021	00613	
101626273448 |51
26/08/2021	00612	
111320515355 |04
24/08/2021	00611	
020407183035 |20
21/08/2021	00610	
222427373848 |14
19/08/2021	00609	
050912204351 |13
22/07/2021	00608	
022024394653 |55
20/07/2021	00607	
020811131726 |53
17/07/2021	00606	
020711213142 |45
15/07/2021	00605	
030412163050 |20
13/07/2021	00604	
051118273443 |42
10/07/2021	00603	
070817374748 |27
08/07/2021	00602	
033234424454 |35
06/07/2021	00601	
172022243054 |51
03/07/2021	00600	
042530385055 |53
01/07/2021	00599	
041528304952 |55
29/06/2021	00598	
051424364455 |48
26/06/2021	00597	
061617204952 |27
24/06/2021	00596	
031617244144 |37
22/06/2021	00595	
030932334143 |40
19/06/2021	00594	
010307132845 |33
17/06/2021	00593	
182338414455 |40
15/06/2021	00592	
111821223055 |35
12/06/2021	00591	
041617202744 |30
10/06/2021	00590	
112224274354 |45
08/06/2021	00589	
162833414254 |12
05/06/2021	00588	
142225394152 |17
03/06/2021	00587	
040821242647 |43
01/06/2021	00586	
061214274345 |38
29/05/2021	00585	
021131374355 |14
27/05/2021	00584	
030718224046 |14
25/05/2021	00583	
061033353643 |08
22/05/2021	00582	
152737454652 |31
20/05/2021	00581	
071012194254 |24
18/05/2021	00580	
060722323847 |27
15/05/2021	00579	
010506132327 |46
13/05/2021	00578	
132425353941 |29
11/05/2021	00577	
011441444653 |48
08/05/2021	00576	
142326374251 |40
06/05/2021	00575	
151924314453 |32
04/05/2021	00574	
072445484953 |14
01/05/2021	00573	
030714224142 |10
29/04/2021	00572	
030923334244 |50
27/04/2021	00571	
030922263237 |41
24/04/2021	00570	
010405212544 |45
22/04/2021	00569	
051117253948 |22
20/04/2021	00568	
182538434751 |11
17/04/2021	00567	
041516294246 |36
15/04/2021	00566	
050827424751 |36
13/04/2021	00565	
253339454955 |36
10/04/2021	00564	
121316172747 |49
08/04/2021	00563	
081116222830 |45
06/04/2021	00562	
273334384648 |05
03/04/2021	00561	
020434384155 |19
01/04/2021	00560	
131824343854 |08
30/03/2021	00559	
021117194751 |22
27/03/2021	00558	
051117202637 |12
25/03/2021	00557	
192024293639 |22
23/03/2021	00556	
091317333453 |31
20/03/2021	00555	
161820253536 |17
18/03/2021	00554	
172438414654 |51
16/03/2021	00553	
033145464954 |40
13/03/2021	00552	
071920233655 |09
11/03/2021	00551	
040512254344 |27
09/03/2021	00550	
151829354754 |20
06/03/2021	00549	
182434394655 |04
04/03/2021	00548	
020921233341 |45
02/03/2021	00547	
232945464951 |01
27/02/2021	00546	
061124305052 |22
25/02/2021	00545	
091932404551 |01
23/02/2021	00544	
161921233048 |06
20/02/2021	00543	
010204323439 |20
18/02/2021	00542	
020510222647 |53
16/02/2021	00541	
041011212344 |50
13/02/2021	00540	
031114313442 |24
09/02/2021	00539	
152021293141 |34
06/02/2021	00538	
062232333553 |12
04/02/2021	00537	
284344505153 |13
02/02/2021	00536	
041331364054 |30
30/01/2021	00535	
020717182129 |19
28/01/2021	00534	
030416344055 |02
26/01/2021	00533	
071632424447 |35
23/01/2021	00532	
123139414555 |34
21/01/2021	00531	
092022314752 |18
19/01/2021	00530	
052225434853 |18
16/01/2021	00529	
131528293244 |49
14/01/2021	00528	
010442444650 |09
12/01/2021	00527	
192329344453 |35
09/01/2021	00526	
101924294648 |05
07/01/2021	00525	
071122384851 |53
05/01/2021	00524	
050709224254 |47
02/01/2021	00523	
071923263545 |11
31/12/2020	00522	
021525273751 |53
29/12/2020	00521	
040811151741 |23
26/12/2020	00520	
012433414351 |48
24/12/2020	00519	
111934414448 |43
22/12/2020	00518	
101116293538 |03
19/12/2020	00517	
142032343749 |31
17/12/2020	00516	
152527354048 |45
15/12/2020	00515	
101113353849 |14
12/12/2020	00514	
031432364146 |54
10/12/2020	00513	
033134364454 |45
08/12/2020	00512	
021732333845 |37
05/12/2020	00511	
102829303738 |36
03/12/2020	00510	
051932414245 |17
01/12/2020	00509	
061012243443 |15
28/11/2020	00508	
012036444549 |52
26/11/2020	00507	
181929313652 |50
24/11/2020	00506	
040719202253 |23
21/11/2020	00505	
081419204951 |28
19/11/2020	00504	
121523284548 |43
17/11/2020	00503	
061727343651 |48
14/11/2020	00502	
051115344448 |35
12/11/2020	00501	
042022254347 |12
10/11/2020	00500	
020519394853 |06
07/11/2020	00499	
122830334552 |15
05/11/2020	00498	
010206183451 |52
03/11/2020	00497	
022227464852 |23
31/10/2020	00496	
081819204354 |50
29/10/2020	00495	
091114162123 |54
27/10/2020	00494	
033133363839 |08
24/10/2020	00493	
122122274150 |34
22/10/2020	00492	
020312212438 |14
20/10/2020	00491	
083338474954 |31
17/10/2020	00490	
031425374954 |53
15/10/2020	00489	
083841475052 |45
13/10/2020	00488	
121928295253 |20
10/10/2020	00487	
051047505354 |22
08/10/2020	00486	
101820212651 |52
06/10/2020	00485	
111429323340 |35
03/10/2020	00484	
121422233944 |28
01/10/2020	00483	
030607193854 |50
29/09/2020	00482	
